肺泡蛋白质沉积症,约40%
股神经损伤,60%
色素紫癜性皮炎,70%
小儿糖原贮积病Ⅵ型,40%
股四头肌肌腱断裂,70%
脑源性晕厥,60%
手足皲裂,95%
小儿糖原贮积病Ⅶ型,40%
股外侧皮神经卡压综合征,40%
输卵管卵巢脓肿,90%
股外侧皮神经炎,60%
太田痣,60%
小儿糖原贮积病Ⅸ型,
口唇疱疹,95%以上
小儿烫伤,98%
恶性骨肿瘤,30%
脱发,60%
小儿特发性肺含铁血黄素沉着症,40%%
咽麻痹,95%
小儿特发性肺纤维化,85%
药物性皮炎,80%
小儿弱视,70%
小儿特发性尿钙增多症,3%
腋臭,70%
肾性骨病,67%
股癣,70%
小儿特发性室性心动过速,80%
异位性皮炎,80%
骨恶性纤维组织细胞瘤,65%
眼睑闭合不全,80%
小儿特发性血小板减少性紫癜,85%～90%（急性ITP的85%～90%患者于6个月内自然痊愈）
疣状表皮发育不良,80%
小儿肾积水,60%
骨神经纤维瘤,30%
鱼鳞病,50%
小儿铁粒幼红细胞性贫血,60%-70%
骨嗜酸性肉芽肿,65%
恶性肿瘤,10%
跖疣,80%
维生素D中毒,90%
骨髓病性贫血,40%
小儿同型胱氨酸尿症,60%
性高潮障碍,80%
骨血管肉瘤,20%
颞下颌关节病,80%
小儿铜缺乏症综合征,80%
分裂情感性精神病,60%
骨血管外皮细胞瘤,无法彻底治愈
小儿湿疹,90%，易反复发病
甲状腺功能亢进伴发的精神障碍,75%
初潮痛经,80%
物理性皮肤病,40%
鼓膜穿孔,80%
旅途精神病,70%
小儿透析失衡综合征,70%
神经性贪食症,70%
小儿脱屑性肺炎,60%
冠状动脉瘤,45%
眼眶脑膜瘤,70%
小儿外部性脑积水,68%
妄想症,45%
小儿大肠杆菌肠炎,70%
冠状动脉异常起源于肺动脉,65%
性兴奋障碍,56%
小儿外源性变应性肺泡炎,治愈率76%
性冷淡,85%
小儿完全性肺静脉异位连接,65%
小儿晚发性维生素K缺乏病,85%，严重患儿需要手术治疗
妊娠合并获得性免疫缺陷综合征,
冠状动脉异常起源主动脉,40%
谵妄综合征,70%
伪聋,50-70%
小儿韦格纳肉芽肿,80%
管状小汗腺癌,75%
中暑,98%
佩梅病,30%
小儿维生素A缺乏病,80%
小儿维生素C缺乏病,80%
手汗症,90%
甲型H1N1流感,85%
光气中毒,10-30%
小儿维生素D缺乏性佝偻病,90%
头皮撕脱伤,90%
鼻/鼻型T/NK细胞淋巴瘤,30%
腰椎滑脱,90%
大咯血,20%
光线性弹力纤维病,40-50%
膝关节滑膜皱襞综合征,86%
小儿维生素D缺乏性手足搐搦症,99%
单纯性肺嗜酸性粒细胞浸润症,50-60%
光泽苔藓,40--60%
小儿维生素E缺乏病,80%
感染性腹主动脉瘤,70%
广泛性焦虑障碍,60%
小儿维斯科特-奥尔德里奇综合征,40%
未分化脊柱关节病,40%
小儿胃肠道异物及异物性肠梗阻,95.2%
儿童腺样体肥大,80%
广州管圆线虫病,40%
弯曲菌肠炎,86%
小儿胃结块症,65%(手术治疗)
盆腔肿瘤,30%
龟分枝杆菌感染,60%-80%
小儿无甲状腺性克汀病,60%
膝关节损伤,80%
新生儿中毒性红斑,95%
小儿无菌性脑膜炎综合征,85%
小儿多发性内分泌腺瘤Ⅱ型,80%
小儿无脾综合征,对症治疗为主，无法根治
龟头炎,90%
皮肤肿瘤,60%
小儿肥胖通气不良综合征,65%
视网膜震荡,80%
小儿戊型病毒性肝炎,60%
心源性休克,20%
腘动脉瘤,40-60%
脊柱关节炎,80%
小儿系统性红斑狼疮,需要终身治疗，目前不能治愈
氨基酸代谢病,20%
腘动脉破裂,70%
夜惊,85%
B链球菌群感染,50%-70%
过度通气综合征,40%
小儿斜视,80%
小儿细胞外胆固醇沉着综合征,40%
巴斯德菌肺炎,87.6%
过敏性肉芽肿性血管炎相关巩膜炎,40-50%
席汉氏综合症,60%，终身激素替代治疗
半月板损伤,60%
过敏性血管炎和肉芽肿病,需要终身治疗，目前不能治愈
妊娠合并尖锐湿疣,85%
过敏性阴道炎,80%
扁平苔藓,95%
小儿细菌感染性口炎,95%
过敏性支气管肺曲霉病,45%-70%
系膜毛细血管性肾小球肾炎,76%
HIV相关呼吸道感染,无法治疗
小儿细菌性痢疾,治愈率99%
胃出血,85-90%
便血,60-70%
小儿下腔静脉阻塞综合征,67.5%
Hughes-Stovin综合征,65%
肠病原性大肠埃希杆菌感染,95%
癔症性失声,60%
非火器性颅脑开放伤,外科手术治愈率约为60%，具体看损伤的严重性以及部位
小儿下丘脑错构瘤,40%
肠气囊肿,80%
噪声性聋,40%
小儿先天性白细胞颗粒异常综合征,80%
肠侵袭性大肠埃希杆菌感染,40%
海胆刺伤及海胆肉芽肿,40%-70%
妊娠合并巨细胞病毒感染,70-80%
系膜增生性肾小球肾炎,78%
小儿先天性胆总管囊肿,90%
肠系膜上动脉综合征,80%
海洛因肾脏病,60%
小儿先天性肺囊肿,65%
咽结合膜热,99%
肠系膜上动脉血栓形成,50-70%
海绵状血管瘤血小板减少综合征,90%
小儿先天性肝囊肿,80%
视网膜裂孔,87%
海鱼分枝杆菌感染,60-70%
小儿先天性高氨血症,40%
大网膜粘连综合征,75%
足部骨折,40-60%
寒冷性脂膜炎,60%-75%
小儿先天性睾丸发育不全,40%
第一掌骨基部骨折,80%
妊娠合并淋病,80%
汉德-许勒尔-克思斯琴病,40%
多发性一过性白点综合征,10%-20%
小儿热带嗜酸性粒细胞增多症,80%
小儿先天性光敏感性卟啉症,20%
增殖型天疱疮,55%-65%
汉坦病毒肺综合征,50--60%
常现丝虫病,85%
小儿先天性红细胞生成异常性贫血,60%
汗管棘皮瘤,无法彻底治愈
膀胱鳞状细胞癌,90%
小儿先天性肌强直综合征,40%--50%
汗孔周围炎及多发性汗腺脓肿,70-85%
小儿先天性甲状腺功能减低症,60%
阻生齿,90%
汗疱症,40%
丛状血管瘤,89%
小儿先天性面肌双瘫综合征,20%
汗腺癌,10%
小儿先天性肾病综合征,60%
合并马蹄肾的腹主动脉瘤,70%
多发性硬化伴发的葡萄膜炎,终身难愈
小儿先天性肾上腺皮质增生症,20%
妊娠合并梅毒,78%
合成树脂皮炎,60-80%
多发内生软骨瘤病,30%
小儿阵发性心动过速,60%
合成树脂与塑料所致的皮肤病,70%
大肠埃希杆菌肺炎,90%
阴道脱垂,30%
细菌性皮肤病,80%
小儿先天性肾盂输尿管连接部梗阻,45%
单纯性乳腺增生症,70-80%
小儿先天性外胚层发育不良综合征,
妊娠合并沙眼衣原体感染,60%
小儿先天性斜颈,一般经过有效手术后，能够60-70%得到治愈
低血糖综合征,80%
下肢淋巴水肿,75%
盖氏骨折,80%
小儿先天性直肠肛门畸形,20%
视神经撕脱,85%
黑棘皮瘤,40%
慢性淋巴细胞白血病,治疗后5年生存率在60%左右
小儿先天性侏儒痴呆综合征,无法根治
褶烂,98%
黑色丘疹性皮肤病,65%
白细胞葡萄糖-6-磷酸脱氢酶缺乏症,75%
中毒性细菌性痢疾,40-60%
小儿先天性主动脉瓣狭窄,治愈率87%
黑癣,10%
白塞病伴发的精神障碍,40%
声带小结,93%
亨廷顿病,无有效治疗方式
迟发性皮肤卟啉病,55%-65%
妊娠合并生殖道沙眼衣原体感染,60%-80%
亨廷顿病性痴呆,20-30%，多以控制症状为主
小儿纤维性骨营养不良综合征,78%
淀粉样变病的胃肠道表现,20%-30%
横位难产,99%
小儿限制型心肌病,需要终身治疗，目前不能治愈
高尿酸血症肾病,70%
先天性并指多指畸形,70%
红细胞生成性原卟啉病,75%
食物过敏性哮喘,95%
隐匿型冠状动脉粥样硬化性心脏病,78%
红细胞增多症视网膜病变,对症治疗为主，治愈率约为20%
薄肾小球基底膜病,10%
小儿中耳炎,40-60%
红细胞增多症眼底,30%
小儿腺病毒性肺炎,80%
皮脂腺异位症,95%
创伤性心源性溶血性贫血,40%
子宫肉瘤,80%
短膜壳绦虫病,40%
红癣,85%
小儿腺苷脱氨酶缺乏,30%
胆石性肠梗阻,80%
妊娠合并生殖器疱疹,70%
虹膜角膜内皮综合征,85%
小儿消化道出血,早发现早治疗，能够90%以上得到有效治愈。
视神经疾病,77%
穿透性角膜移植术所致青光眼,80%
虹膜新生血管,50%
小儿心搏呼吸骤停与心肺复苏术,依据发生地点，发生原因，施救人员技术及施救设备的不同而不同
腹股沟直疝,90%
真菌性甲沟炎,40-60%
小儿心房颤动,60--80%
髌腱断裂,70%
髌骨不稳定,70%
喉返神经损伤,60%
鼻红粒病,50%
后壁穿孔性溃疡,70%
小儿心房扑动,60%
婴幼儿化脓性淋巴结炎,98%
尺桡骨骨干双骨折,90%
后部多形性角膜营养不良,60%
小儿心肌炎,95%
妊娠合并心脏病,80%，多在分娩后自行恢复
后发性白内障,70%
小儿心力衰竭,60%
自身免疫性肝病,65%
后十字韧带损伤,80%
小儿心律失常,85%
小角膜,80%
后天性大疱性表皮松解,60%
葡萄膜病,70%
胡桃夹食管,95%
成人T细胞白血病,20%
小儿心面综合征,40%
自身免疫性肝炎,10%
小儿心内膜弹力纤维增生症,60%
华支睾吸虫病,60%-80%
创伤窒息综合征,70%
滑脱性肋骨综合征,50--70%
妊娠合并支原体感染,80%
小儿锌缺乏症,97%
化脓性腱鞘炎,85%
自身敏感性皮炎,100%
小儿新变异型克罗伊茨费尔特-雅各布病,10%
化脓性颅骨骨髓炎,85%
尺管综合征,60%
小儿星形细胞瘤,75%
化脓性门静脉炎,80%
心动过缓,80%
对苯二胺皮炎,60%
小儿雄激素不敏感综合征,60%
化脓性脑膜炎,90%
妊娠期合并急性胆囊炎,80%
点状内层脉络膜病变,85%
纵膈肿瘤,86%
化脓性盆腔血栓静脉炎,80%
单侧肾缺如,2%
小儿休克,84%
先天性泌尿系畸形,60%
化脓性眼内炎,75%
小儿选择性免疫球蛋白A缺乏症,60%
化脓性指头炎,99%
真菌性皮肤病,80%
小儿选择性免疫球蛋白G亚类缺陷病,1%
化妆品皮炎,60%
小儿学校恐怖症,50%
室性心律失常,40%
踝关节骨折,80%
小儿血管-骨肥大综合征,50%
心内膜垫缺损,90%
踝关节结核,86%
小儿血管角质瘤综合征,45%-65%
骶尾部畸胎瘤,65%
心脏损伤,50%
踝关节脱位,99%
小儿血管瘤,100%
脊柱脊髓伤,40%
下肢神经损伤,40%-60%
坏死性结节病样肉芽肿病,65%
小儿血管瘤血小板减少综合征,60%
泄殖腔外翻,40%
坏死性筋膜炎,75%-85%
先天性毛细血管扩张性大理石样皮肤,30-40%
营养性贫血,60--80%
小儿血管免疫母细胞淋巴结病,40%
先天性高位肩胛,60%
环状红斑,60%
主动脉口狭窄,60%
小儿血管网状细胞瘤,50%
环状外阴炎,94%
小儿血管性血友病,40%
寰椎骨折,70%
先天自愈性朗格汉斯组织细胞增生症,40-60%
小儿血清病,80%
生殖细胞瘤,87%
黄斑囊样水肿,70%
先天性结肠狭窄和闭锁,85%
小儿血栓性血小板减少性紫癜,40%
妊娠纹,80%
黄色瘤,85%
鼻窦鳞状细胞癌的眼部病变,80%
小儿血小板释放功能缺陷性疾患,10%
主-肺动脉间隔缺损,60%
黄色肉芽肿性肾盂肾炎,75%
创伤性气管及主支气管损伤,80%
小儿血小板无力症,80%
羌虫病,70-80%
黄体囊肿,90%
小儿血友病,本病为先天性遗传性疾病，尚无根治疗法。
创伤性膈疝,50-70%
日光角化病,60%
灰泥角化病,40%
小儿牙本质生长不全综合征,80%
冻伤,75%
重复肾盂输尿管畸形,60%
回旋状脉络膜视网膜萎缩,30%
小儿雅克什综合征,40%
败血症,90%
颞下颌间挛缩,30%（手术治疗）
小儿雅司病,20--40%
痴呆,30%
失语症,40%
小儿亚急性骨髓炎,80%
单发性毛鞘瘤,60%
小儿亚急性甲状腺炎,95%
蛔虫性急性胰腺炎,85%
高免疫球蛋白E综合征,60%
小儿亚硝酸盐中毒,70%
会阴下降综合征,60%
汞皮炎,70-85%
持续性枕后位难产,90%
小儿烟酸缺乏病,75%
混合型卟啉病,对症治疗为主，无法彻底根治
小儿烟雾病,缺乏科学和权威的统计，外科手术治愈率大约为40-50%
混合型慢性高原病,50%
小儿淹溺,30%
小儿严重急性呼吸综合征,10%
混合型肾小管性酸中毒,75%
支原体尿路感染,90%
蛛网膜囊肿,100%
小儿言语和语言障碍,80%
乳房肉瘤,60%
混合性结缔组织病,55%
小儿炎症性肠病,70-80%，小部分发展成为慢性肠炎
伴有脂肪瘤样痣的褶皱皮肤,98%
火器性颅脑损伤,外科手术治愈率约为35%-55%
食管狭窄,30--40%
玻璃纤维引起的皮肤病,75%
小儿眼-耳-脊椎综合征,10%
获得性高脂蛋白血症,65%
玻璃体积血,75%
食管良性肿瘤,90%
小儿眼-脑-肾综合征,10%
获得性免疫缺陷综合征,
爆裂性眼眶骨折,70%
粘多糖代谢障碍,60%
获得性免疫缺陷综合征的神经系统表现,难治愈，需终身服药控制。
大疱性表皮松解,80%
骶髂关节炎,78%
获得性免疫缺陷综合征的消化系统损害,无有效治疗方式
小儿药物变态反应,99%
鼻孢子虫病,75%
拟除虫菊酯类杀虫药中毒,80%
小儿药物性皮炎,80%
脊髓半切综合征,20%
白喉性心肌炎,50%
获得性免疫缺陷综合征的心血管损害,无法彻底治愈
旋后肌综合征,80%
获得性免疫缺陷综合征视网膜病变,
全面性发作,60%
新生儿臂丛神经麻痹,40%
灼痛,50%
小儿药物性肾损害,95%
获得性免疫缺陷综合征相关淋巴瘤,很难治愈，需终身服药控制。
新生儿脐炎,98%
小儿药物诱发的溶血性贫血,80%
新生儿锁骨骨折,98%
获得性视网膜大动脉瘤,外科手术治愈率约为75%
蛋白质-热能营养障碍,30--50%
小儿叶酸缺乏病,90%
双胎妊娠,100%
获得性视网膜劈裂,30%
小儿一氧化碳中毒,90%
舌骨骨折,85%
小儿衣原体肺炎,治愈率98%
胸膜间皮瘤,10%
获得性维生素K依赖性凝血因子异常,对症治疗，无法根治
不随意运动,55-75%
小儿遗传性大疱性表皮松解症,50%
小儿病毒性肺炎,96%
肌病肾病性代谢综合征,30%
巴雷特食管,35%
小儿遗传性共济失调,20%-30%（以控制症状治疗为主）
支气管结核,85%
肌疝,60%
丹吉尔病,0%
小儿遗传性果糖不耐受,40%
支气管腺瘤,50%
单纯疱疹,70%
肌阵挛性小脑协调障碍,60%
小儿遗传性痉挛性截瘫,40%
大网膜囊肿,65%-75%
基底核钙化症,80%
原发性侧索硬化,无法治愈
小儿遗传性口形细胞增多症,20%
激素抵抗型哮喘,
藏毛性疾病,35%-45%
小儿喉痉挛,70%
极外侧型腰椎间盘突出症,50-60%，主要以控制症状为主，缓解疼痛
小儿遗传性慢性进行性肾炎,先天性遗传性疾病，至今尚无特效治疗。
成人先天性髋关节脱位,85%
急进性肾小球肾炎,30%
抽搐与惊厥,87%
小儿遗传性球形红细胞增多症,70%
急性肠系膜上动脉梗死,60%
路易体痴呆,10%
小儿遗传性椭圆形红细胞增多症,80%
急性肠系膜上动脉栓塞或血栓形成,55%-65%
小儿遗传性血管神经性水肿,无法治愈，只能对症治疗
额颞痴呆,70%
急性肠系膜上静脉血栓形成,85%
小儿遗尿,88%
盆底综合征,65%-80%
急性非特异性睾丸炎,90%
脱发性毛囊炎,60%
烫伤,80%
小儿乙型肝炎病毒相关肾炎,10%
急性附件炎,99%
丑胎,25%
急性梗阻性化脓性胆管炎,90%
小儿异染性脑白质营养不良,1.5%
多发脑梗死性痴呆,15%-30%
急性化脓性脊髓炎,85%
小儿隐睾症,80%
焦油性黑变病,60%
急性化脓性甲状腺炎,90%
继发性白血病,65%
小儿营养不良性消瘦,98%
急性间质性肺炎,22%
口臭,80%
小儿硬化性胆管炎,30%
脑型肺吸虫病,70%
小儿硬脊膜外脓肿,80%
急性减压性骨坏死,65%
神经根型颈椎病,60%
小儿硬脑膜外脓肿,80%
急性弥漫性腹膜炎,60%
神经性厌食症与神经性贪食症,85%
小儿硬脑膜外血肿,20%
急性糜烂性胃炎,90%
微病毒B19感染性风湿病,70%
小儿硬脑膜下血肿,一般95%可以完全治愈
H7n7,40%
胸、腰椎爆裂骨折,60%
急性脑内血肿,60%
小儿硬皮病,80%
老年病,大多不能治愈，需长期治疗
毒性结节性甲状腺肿,75%
急性盆腔炎,95%
小儿幽门螺杆菌感染,95%
眼病,根据不同的眼病而定
钝挫伤,80%
急性气管支气管炎,95%
小儿尤因肉瘤,10%
性病,10%
分裂情感性障碍,50%
急性全自主神经失调症,85%
小儿有机磷农药中毒,治愈率76%
心理疾病,80%
急性乳突炎,80%
多肌腱末端病,80%
小儿右肺中叶综合征,85%
男性病,85%
多毛状小阴唇,对症治疗
胸椎病,75%-85%
小儿右室双出口,70%
多重肺部感染,82%
急性视网膜色素上皮炎,80%
肠系膜淋巴结炎,80%
急性嗜酸性粒细胞性肺炎,70%
恶性雀斑样痣,60%
妇科疾病,根据不同疾病治愈率不同
急性髓细胞白血病,75%
小儿预激综合征,3%
血液病,30%
急性特发性心包炎,70%
恶性小汗腺汗孔瘤,20%
裂纹舌,约为60%
急性妄想发作,60%
鄂木斯克出血热,20--40%
小儿原发型肺结核,95%
骨折不愈合,75%
急性右侧心力衰竭,75%-85%
颚口线虫病,65%
小儿原发性膀胱输尿管反流,80%
肾萎缩,2%
耳鼻咽喉创伤,80%
急性杂合性白血病,70%
小儿原发性腹膜炎,70%
胆囊息肉样病变,95%
分水岭区脑梗死,60%
急性早幼粒细胞白血病,85%
小儿原发性甲状旁腺功能亢进症,60%
脑炎后遗症,30%
二糖酶缺乏症,65%
小儿原发性免疫缺陷病,80%
黑头粉刺痣,80%
急性脂肪皮肤硬化症,72%
小儿原发性脑干损伤,70%
妇科炎症,80%
Fuchs角膜内皮营养不良,70%
急性左侧心力衰竭,80%
反应性组织细胞增多症,30%
肾病,68%
疾病恐怖,40-70%
非淋球菌性细菌性关节炎,75%
小儿原发性血小板增多症,60%
急慢性肝炎,70%
棘阿米巴性巩膜炎,60%
非特异性系统性坏死性小血管炎,40%
脑癌,0.05%
小儿远端肾小管酸中毒,65%
棘阿米巴性角膜炎,80%
肥大性骨关节病,60%
小儿月经过多,60%
粉刺样痣,80%
风湿病性贫血,50%
肛肠疾病,69%
棘球蚴病,89%
腹壁纤维肉瘤,70%
小儿阅读障碍,65%
宫颈疾病,根据具体疾病，治愈率不同
棘上韧带损伤,70%
腹部大血管损伤,外科手术40-60%
小儿再发性腹痛,86%
集聚肠杆菌感染,60-70%
小儿再发性呕吐,70%
小儿再生障碍性贫血,30--50%
己糖激酶缺乏症,90%(对症治疗，维持血红蛋白稳定则属临床治愈，约90%。)
小儿早老症,70%
腹膜后纤维化,45%-65%
挤奶者结节,95%
呼吸疾病,根据具体疾病，治愈率不同
小儿粘连性肠梗阻,90%(一般系统治疗后90%可以痊愈)
脊膜膨出与脊膜脊髓膨出,35%
小儿真菌感染性口炎,80%
脊髓海绵状血管瘤,30%
脊髓后动脉缺血症候群,80%
腹膜转移癌,50%
肺病,根据不同肺病，治愈率不同
小儿真菌性肺炎,治愈率91.2%
脊髓内出血,50%
小儿阵发性室上性心动过速,75%
腹腔肺吸虫病,40%-60%
泌尿感染,根据具体疾病，治愈率不同
小儿阵发性室性心动过速,70%
高胡萝卜素血症,99%
脊髓内脓肿,60%
乳腺病,根据具体疾病，治愈率不同
脊髓前动脉综合征,65%
革兰阳性球菌和革兰阴性杆菌性巩膜炎,85%
小儿阵发性睡眠性血红蛋白尿症,30%
癌症,20%(外科手术治疗)
格斯特曼综合征,70%
脊髓前中央动脉缺血症候群,68%
小儿支气管肺发育不全,60%-70%
牙科病,根据不同牙部疾病，治愈率不同
脊髓缺血,75%
小儿支气管肺炎,90%
男科病,大多数疾病通常可治愈
小儿支气管扩张,95%
跟骨骨骺骨软骨病,70%
脑发育不良,
小儿支气管哮喘,50%
更年期角化症,60%
妇科综合,根据不同妇科疾病，治愈率不同
小儿脂肪吸收不良,80%
口腔疾病,根据不同口腔疾病，治愈率不同
肱骨上端骨骺分离,40-60%
脊髓刃器伤,治愈率约85%
小儿直肠脱垂,60%
骨病,根据不同骨病，治愈率不同
阿米巴痢疾,98%
脊髓神经鞘瘤,70%
小儿指甲-髌骨综合征,1%
脊髓栓系综合征,外科手术治愈率约为70%
小儿致心律失常性右室心肌病,70%
股骨髁上骨折,80%
妇科病,根据不同妇科疾病，治愈率不同
脊髓性肌萎缩,无法彻底治愈
小儿中毒型痢疾,93%
股骨头骨折,80%
肿瘤,20%
脊柱脊髓损伤,30%
小儿中暑和暑热症,98%
股骨转子间骨折,89%
继发性单克隆免疫球蛋白病,60-70%
血管病,根据不同血管疾病，治愈率不同
小儿重症肌无力,40-70%
股神经干性痛,60%
内分泌病,根据不同内分泌疾病，治愈率不同
继发性腹膜炎,60%-80%
小儿周期性低血钾性麻痹,80%
脊柱疾病,根据不同脊柱疾病，治愈率不同
小儿周期性高血钾性麻痹,90%
骨产道异常性难产,50-80%
脑病,根据不同脑部疾病，治愈率不同
小儿周期性正常血钾性麻痹,98%
继发性骨髓纤维化,80%
骨恶性淋巴瘤,15%
小儿周围淋巴结结核,85%
遗传病,疾病类型不同，治疗效果和预后不同
骨骺点状发育不良,65%
继发性红细胞增多症,70%
小儿皱梅腹综合征,80%
甲状腺疾病,根据不同甲状腺疾病，治愈率不同
骨良性纤维组织细胞瘤,90%
继发性化脓性腹膜炎,70%
小儿侏儒-视网膜萎缩-耳聋综合征,1%
牙病,根据不同牙部疾病，治愈率不同
骨膜软骨瘤,60-80%
口腔病,根据不同口腔疾病，90%
骨纤维肉瘤,15%
小儿珠蛋白生成障碍性贫血,30%
继发性皮肤CD30阳性大细胞淋巴瘤,外科手术治愈率约为65%
关节疼痛,
骨纤维异样增殖症,70%
继发性皮肤滤泡中心细胞性淋巴瘤,小裂细胞性预后较好，5年生存率为70%；混合细胞性和大细胞性5年生存率分别为50%和45%
咽喉痛,99%
骨血管内皮细胞瘤,65%
小儿猪带绦虫病和囊虫病,60%
继发性痛经,60%
盆腔疾病,93%
小儿注意缺陷障碍,50%
继发性系统性淀粉样变,30%
乳腺疾病,根据不同乳腺疾病，治愈率不同
小儿转移性骨肿瘤,30%
固定性斜视,外科手术治愈率约为80%
继发性血小板增多症,40%
支气管病,根据不同支气管疾病，治愈率不同
小儿椎管内肿瘤,75%-85%
腘血管陷迫综合征,25%
继发性粘连性蛛网膜炎,65%
继发于严重肝疾患的棘红细胞增多症,3%
神经类疾病,根据不同神经类疾病，治愈率不同
小儿锥体功能不良综合征,45%
耳病,根据不同耳部疾病，治愈率不同
寒冷性红斑,70%
小儿紫斑湿疹综合征,80%
寄生虫妄想,50%
汗孔角化病,80%
小儿自律性房性心动过速,85%
食管病,根据不同食管疾病，治愈率不同
寄生虫性关节炎,60%
黑布拉痒疹,85%
月经病,根据不同月经类疾病，治愈率不同
寄生虫性尿路感染,70%
红细胞生成性卟啉病,70%
小儿自身免疫性淋巴细胞增生综合征,30%
肛肠病,90%
加利福尼亚脑炎,90%
虹膜黑色素瘤,70%
小儿自身免疫性溶血性贫血,60%-70%
鼻病,根据不同鼻部疾病，治愈率不同
加速性房性逸搏心律,70%
喉气管食管裂,30%-70%
加速性室性自主心律,75%
血压病,根据不同血压类疾病，治愈率不同
小儿纵隔囊肿及肿瘤,68%
淋巴病,根据不同淋巴疾病，治愈率不同
小儿纵隔压迫综合征,65%
家族性出血性肾炎,30%
细菌感染,根据不同细菌的感染，治愈率不同
后葡萄膜炎,60%-80%
小儿阻塞性睡眠呼吸暂停,60%
家族性地中海热,65%
小儿柞蚕蛹性脑病综合征,75%
家族性高胆固醇血症,无法治愈，只能够对症治疗
试管婴儿,治愈64%
小汗腺汗管纤维腺瘤,40-60%
家族性红细胞增多症,对症治疗为主，无法彻底根治
厚皮性骨膜病,30%
分娩,95%
小汗腺汗囊肿,70%
家族性混合型高脂血症,40%
呼吸肌疲劳症,50%
双性恋,10%
小汗腺血管错构瘤,外科手术治愈率约为85%-90%
忽略症,10%
家族性甲状腺非髓样癌,65%(外科手术治疗)
小汗腺痣,60%
滑石粉尘肺,75%
家族性抗维生素D佝偻病,
小颌畸形综合征,60%
化学液体吸入,30--50%
皮质性遗忘症,70%
家族性良性天疱疮,70%
小棘毛壅病,85%
踝关节软骨损伤,90%
淋巴结结核,60%
家族性黏液血管纤维瘤,外科手术治愈率约为40-50%，本病易复发
坏疽性脓皮症,70-80%
硬斑,30%
家族性渗出性玻璃体视网膜病变,30%
寰枢椎脱位,91%
家族性异常β脂蛋白血症,对症治疗为主，无法彻底根治
足外翻,95%
小棘苔藓,70%
家族性载脂蛋白B100缺陷症,50%
寰椎沟环畸形,30%-50%
梦游症,95%
荚膜组织胞浆菌病,60%
副耳,94%
埃莱尔-当洛综合征,65%-75%
小螺菌感染,75%
甲亢性心脏病,70%
会阴疝,95%
腕枪刺状畸形,65%
甲良性肿瘤,80%
惠普尔病,65%
剥脱性皮炎,20%
火激红斑,60%
小脑幕脑膜瘤,75%
甲内型甲真菌病,85%
单次发作抑郁症,60%
获得性循环抗凝物质增多症,50-60%
小脑脑桥角脑膜瘤,80%
甲下外生骨疣,30%
撕脱骨折,95%
肌肉肌腱单位的急性损伤,85%
小提琴手颈部皮炎,60%
甲型病毒性肝炎,99.99%
植物神经功能障碍,85%
肌张力障碍综合征,70%
甲状旁腺功能减退性心肌病,40%
小腿动脉损伤,85%
孤独症,50%
积乳囊肿,85%
甲状旁腺功能减退症,95%
痔核,80%
小腿红绀病,45%-60%
甲状旁腺功能亢进性心肌病,控制症状为主，完全治愈率约为40%
发育性骨盆异常,40%
小网膜囊疝,95%
甲状旁腺功能异常伴发的精神障碍,50%
成人多动症,85%
基底细胞癌,85%
心包内恶性畸胎瘤,30%
甲状腺功能减退症,85%以上可以通过药物控制
吉特林综合征,0.5%
舌炎,87%
心包切开术后综合征,60%
急性横贯性脊髓炎,75-85%
甲状腺功能亢进性骨矿疾病,75%
足癣,80%
心包胸腺瘤,80%
急性化脓性脑膜炎,75%
甲状腺功能亢进性心肌病,外科手术治愈率约为60%
丧偶后适应性障碍,80%
心动过速性心肌病,75%
痢疾,95%
甲状腺功能亢进症的肾损害,85%
心-耳综合征,外科手术治愈率约为65%
急性化脓性胃炎,90%
信息成瘾,60%
甲状腺功能异常伴发的精神障碍,30%
心房颤动,80%
急性酒中毒,90%
胸廓畸形,50%
甲状腺结核,70%
心房内传导阻滞,80%
急性粒细胞缺乏,95%
遗传性肥胖,85%
贾第虫病,85%
心房内折返性心动过速,90%(射频消融治疗)
急性淋巴细胞白血病,儿童患者的可能结果优于成年人，治愈率为80%；80%的成年人获得完全缓解，治愈率则为30%至50%
表演型人格障碍,60%
心房扑动,终身治疗，目前不能治愈
急性咽炎,90%
病理性REM睡眠,
心肌桥,50%
假斑秃,40%
传导性腹痛,76%
急性硬脑膜下血肿,60%
心脏乳头样弹性纤维瘤,50%
假性高血压,90%
脊髓分裂症,10%
β-氨基酸尿,40%
心脏脂肪瘤,30%
脊椎化脓性骨髓炎,80%
气压伤,治愈率70%
心脏直视手术所致神经疾病,60%
内分泌功能亢进,90%
假麦格综合征,45%-65%
心脏骤停与心肺脑复苏,40-60%
假性黑棘皮病,70%
假性肠梗阻,80%
糙皮病样皮疹,65-70%
心脏转移瘤,44%
肩峰下滑囊炎,85%
心脏转移性恶性黑色素瘤,20%
肩峰下撞击征,80%
先天性X因子缺乏,25%
肩关节周围炎,70%
肩关节不稳定,60%
锌及其化合物引起的皮肤病,60%
先天性少白头,30%
新生儿B链球菌感染,60%
营养代谢缺乏,90%
新生儿Rh血型不合溶血病,98%
肩胛背神经卡压症,50%
肩锁关节脱位,80%
心脏淤积淀粉样物质,25%
新生儿Wilson-Mikity综合征,30-40%
埃可病毒疹,60%
肩胛骨体部骨折,外科手术治愈率80%
