肺泡蛋白质沉积症,约3个月
真菌性皮肤病,3个月
小儿选择性免疫球蛋白G亚类缺陷病,1-2个月
化妆品皮炎,30天
小儿学校恐怖症,1--3个月
室性心律失常,30天
踝关节骨折,1-3个月
小儿血管-骨肥大综合征,1-3个月
心内膜垫缺损,4-6周
踝关节结核,3-6个月
小儿血管角质瘤综合征,3-6个月
骶尾部畸胎瘤,3个月
心脏损伤,4-8周
踝关节脱位,2-4周
小儿血管瘤,1年
脊柱脊髓伤,1-3个月
下肢神经损伤,3-6个月
坏死性结节病样肉芽肿病,2个月
小儿血管瘤血小板减少综合征,3-6个月
泄殖腔外翻,2-4周
坏死性筋膜炎,2-4周
先天性毛细血管扩张性大理石样皮肤,1-3年
营养性贫血,1--6个月
小儿血管免疫母细胞淋巴结病,3-6月
先天性高位肩胛,3-6个月
环状红斑,10-30天
主动脉口狭窄,3个月
小儿血管网状细胞瘤,3个月
环状外阴炎,7-14天
小儿血管性血友病,3-6个月
寰椎骨折,2--8周
先天自愈性朗格汉斯组织细胞增生症,1-2年
小儿血清病,1-2年
生殖细胞瘤,2-4周
黄斑囊样水肿,3-6个月
先天性结肠狭窄和闭锁,2-5年(需多次手术)
小儿血栓性血小板减少性紫癜,3-6个月
妊娠纹,30天
黄色瘤,2-4月
鼻窦鳞状细胞癌的眼部病变,3-5周
小儿血小板释放功能缺陷性疾患,3-6个月
主-肺动脉间隔缺损,1-3个月
黄色肉芽肿性肾盂肾炎,2-4个月
创伤性气管及主支气管损伤,2-4周
小儿血小板无力症,1-3个月
羌虫病,8-12周
黄体囊肿,2-6周
小儿血友病,需要长期治疗
创伤性膈疝,2-4周
日光角化病,7-14天
灰泥角化病,3个月
小儿牙本质生长不全综合征,3-6周
冻伤,1-2个月
重复肾盂输尿管畸形,1个月
回旋状脉络膜视网膜萎缩,2--8周
小儿雅克什综合征,1-3个月
败血症,7-14天
颞下颌间挛缩,3--6周
小儿雅司病,2--4周
痴呆,终身间歇性治疗
失语症,3-6个月
小儿亚急性骨髓炎,1-3个月
单发性毛鞘瘤,1个月
小儿亚急性甲状腺炎,2-4月
蛔虫性急性胰腺炎,4-6周
高免疫球蛋白E综合征,1-2年
小儿亚硝酸盐中毒,2-4周
会阴下降综合征,3个月
汞皮炎,1-3个月
持续性枕后位难产,7-14天
小儿烟酸缺乏病,3-6个月
混合型卟啉病,终身间歇性治疗
小儿烟雾病,3-6个月
混合型慢性高原病,3个月
小儿淹溺,根据抢救的及时性而定，一般2周到1个月
小儿严重急性呼吸综合征,1-7天
混合型肾小管性酸中毒,6月-数年
支原体尿路感染,1-2周
蛛网膜囊肿,1-2周
小儿言语和语言障碍,1年左右
乳房肉瘤,1-3个月
混合性结缔组织病,2-5年
小儿炎症性肠病,3-6个月
伴有脂肪瘤样痣的褶皱皮肤,7天
火器性颅脑损伤,1-3个月
食管狭窄,2--8周
玻璃纤维引起的皮肤病,1-2月
小儿眼-耳-脊椎综合征,3-6个月
获得性高脂蛋白血症,6-12个月
玻璃体积血,2-4周
食管良性肿瘤,1-2个月
小儿眼-脑-肾综合征,1-2年
获得性免疫缺陷综合征,终身治疗
爆裂性眼眶骨折,3-7周
粘多糖代谢障碍,1-3个月
获得性免疫缺陷综合征的神经系统表现,1-4年
大疱性表皮松解,3-6个月
骶髂关节炎,1-2个月
获得性免疫缺陷综合征的消化系统损害,终身间歇性对症治疗
小儿药物变态反应,7天
鼻孢子虫病,1-4周
拟除虫菊酯类杀虫药中毒,2-4周
小儿药物性皮炎,7-30天
脊髓半切综合征,1—3个月
白喉性心肌炎,3个月
获得性免疫缺陷综合征的心血管损害,终身间歇性对症治疗
旋后肌综合征,4周
获得性免疫缺陷综合征视网膜病变,1-3个月
全面性发作,2-3年
新生儿臂丛神经麻痹,4-12个月
灼痛,2-4周
小儿药物性肾损害,1-3个月
获得性免疫缺陷综合征相关淋巴瘤,1-6个月
新生儿脐炎,1-2周
小儿药物诱发的溶血性贫血,1-3个月
新生儿锁骨骨折,2-3个月
获得性视网膜大动脉瘤,2-4周
蛋白质-热能营养障碍,7--21天
小儿叶酸缺乏病,4-6月
双胎妊娠,280天
获得性视网膜劈裂,7-10天
小儿一氧化碳中毒,10天左右
舌骨骨折,7-10天
小儿衣原体肺炎,7天
胸膜间皮瘤,10-30天
获得性维生素K依赖性凝血因子异常,终身治疗
不随意运动,6-12个月
小儿遗传性大疱性表皮松解症,3个月
小儿病毒性肺炎,7天
肌病肾病性代谢综合征,3个月
巴雷特食管,10-30天
小儿遗传性共济失调,1-3个月
支气管结核,2-3个月
肌疝,1-2个月
丹吉尔病,终身间歇性治疗
小儿遗传性果糖不耐受,2--4周
支气管腺瘤,3个月
单纯疱疹,1个月
肌阵挛性小脑协调障碍,1-3个月
小儿遗传性痉挛性截瘫,3个月
大网膜囊肿,1-2个月
基底核钙化症,3-6月
原发性侧索硬化,终身间断治疗
小儿遗传性口形细胞增多症,1-3个月
激素抵抗型哮喘,需要终身治疗
藏毛性疾病,3-6个月
小儿喉痉挛,1-3个月
极外侧型腰椎间盘突出症,1-3个月
小儿遗传性慢性进行性肾炎,需要终生治疗
成人先天性髋关节脱位,1-2个月
急进性肾小球肾炎,3个月--1年以上
抽搐与惊厥,5-10天
小儿遗传性球形红细胞增多症,3-6个月
急性肠系膜上动脉梗死,3-6月
路易体痴呆,1-6个月
小儿遗传性椭圆形红细胞增多症,3-6个月
急性肠系膜上动脉栓塞或血栓形成,1-3个月
小儿遗传性血管神经性水肿,5-10年
额颞痴呆,3-6个月
急性肠系膜上静脉血栓形成,2-4月
小儿遗尿,1-3年
盆底综合征,1-2个月
急性非特异性睾丸炎,7-14天
脱发性毛囊炎,2-4周
烫伤,3-5周
小儿乙型肝炎病毒相关肾炎,3个月
急性附件炎,15天
丑胎,1-3个月
急性梗阻性化脓性胆管炎,14天
小儿异染性脑白质营养不良,1-3个月
多发脑梗死性痴呆,3-6月
急性化脓性脊髓炎,4-8周
小儿隐睾症,7-14天
焦油性黑变病,3个月
急性化脓性甲状腺炎,3-6周
继发性白血病,1-3个月
小儿营养不良性消瘦,1-3个月
急性间质性肺炎,大于1年
口臭,3-6个月
小儿硬化性胆管炎,10-30天
脑型肺吸虫病,30天
小儿硬脊膜外脓肿,1-3个月
急性减压性骨坏死,3个月
神经根型颈椎病,4-6个月
小儿硬脑膜外脓肿,1-3个月
急性弥漫性腹膜炎,1-2个月
神经性厌食症与神经性贪食症,3个月
小儿硬脑膜外血肿,10天-30天
急性糜烂性胃炎,3-10天
微病毒B19感染性风湿病,3-6周
小儿硬脑膜下血肿,1-3个月
H7n7,1-3个月
胸、腰椎爆裂骨折,1-3个月
急性脑内血肿,1-2个月
小儿硬皮病,3月
老年病,大多需要长期治疗
毒性结节性甲状腺肿,3-6月
急性盆腔炎,3-6个月
小儿幽门螺杆菌感染,2-6周
眼病,根据不同的眼病而定
钝挫伤,1-3个月
急性气管支气管炎,1-2周
小儿尤因肉瘤,1--3个月
性病,10-30天
分裂情感性障碍,需要终身治疗
急性全自主神经失调症,2-4周
小儿有机磷农药中毒,14天
心理疾病,0.6--1年
急性乳突炎,7-10天
多肌腱末端病,2-4月
小儿右肺中叶综合征,3-6周
男性病,1-3个月
多毛状小阴唇,3-5年
胸椎病,1-3个月
小儿右室双出口,1-3个月
多重肺部感染,1-3个月
急性视网膜色素上皮炎,3个月
肠系膜淋巴结炎,3-7周
急性嗜酸性粒细胞性肺炎,1-2个月
恶性雀斑样痣,4-8个月
妇科疾病,根据不同疾病治疗周期不同
急性髓细胞白血病,3-6月
小儿预激综合征,1-10天
血液病,1-3年
急性特发性心包炎,4周
恶性小汗腺汗孔瘤,1-3个月
裂纹舌,3-6个月
急性妄想发作,10--30天
鄂木斯克出血热,2-6周
小儿原发型肺结核,6-18月
骨折不愈合,1-3个月
急性右侧心力衰竭,1-2个月
颚口线虫病,1-2个月
小儿原发性膀胱输尿管反流,1-3个月
肾萎缩,需长期治疗
耳鼻咽喉创伤,1-3个月
急性杂合性白血病,1-2个月
小儿原发性腹膜炎,1-3个月
胆囊息肉样病变,2-4周
分水岭区脑梗死,3个月
急性早幼粒细胞白血病,30天
小儿原发性甲状旁腺功能亢进症,3个月
脑炎后遗症,3-7周
二糖酶缺乏症,3-6月
小儿原发性免疫缺陷病,3个月
黑头粉刺痣,2-4周
急性脂肪皮肤硬化症,3个月
小儿原发性脑干损伤,1-3个月
妇科炎症,2-4月
Fuchs角膜内皮营养不良,1-3个月
急性左侧心力衰竭,2-4月
反应性组织细胞增多症,1-3个月
肾病,4-6个月
疾病恐怖,1-3年
非淋球菌性细菌性关节炎,2-4月
小儿原发性血小板增多症,1-3个月
急慢性肝炎,1-3个月
棘阿米巴性巩膜炎,7--14天
非特异性系统性坏死性小血管炎,2个月
脑癌,3-6个月
小儿远端肾小管酸中毒,1-3个月
棘阿米巴性角膜炎,1-3月
肥大性骨关节病,3个月
小儿月经过多,1-3个月
粉刺样痣,2-4周
风湿病性贫血,2--6个月
肛肠疾病,1-6个月
棘球蚴病,3-6月
腹壁纤维肉瘤,1-3个月
小儿阅读障碍,1-2年
宫颈疾病,根据不同宫颈疾病，治疗周期不同
棘上韧带损伤,3-5月
腹部大血管损伤,1个月
小儿再发性腹痛,3-6周
集聚肠杆菌感染,4-8周
小儿再发性呕吐,7-10天
小儿再生障碍性贫血,3月--1年
己糖激酶缺乏症,1-3月
小儿早老症,1-3个月
腹膜后纤维化,1-3个月
挤奶者结节,1-3个月
呼吸疾病,根据不同呼吸疾病，治疗周期不同
小儿粘连性肠梗阻,手术治疗3-7天
脊膜膨出与脊膜脊髓膨出,1个月
小儿真菌感染性口炎,7--10天
脊髓海绵状血管瘤,1-3个月
脊髓后动脉缺血症候群,2-4月
腹膜转移癌,2-3个月
肺病,根据不同肺病，治疗周期不同
小儿真菌性肺炎,1～3个月
脊髓内出血,1-3个月
小儿阵发性室上性心动过速,2-4周
腹腔肺吸虫病,1-3个月
泌尿感染,根据不同泌尿部位的感染，治疗周期不同
小儿阵发性室性心动过速,1-3个月
高胡萝卜素血症,治疗周期15天
脊髓内脓肿,7-14天
乳腺病,根据不同乳腺疾病，治疗周期不同
脊髓前动脉综合征,3-6个月
革兰阳性球菌和革兰阴性杆菌性巩膜炎,2-4月
小儿阵发性睡眠性血红蛋白尿症,1-3个月
癌症,3-6个月
格斯特曼综合征,1-6个月
脊髓前中央动脉缺血症候群,2个月
小儿支气管肺发育不全,1-3年
牙科病,根据不同牙部疾病，治疗周期不同
脊髓缺血,1-3月
小儿支气管肺炎,7-14天
男科病,根据不同男性疾病，治疗周期不同
小儿支气管扩张,1-2个月
跟骨骨骺骨软骨病,1-2个月
脑发育不良,1-3个月
小儿支气管哮喘,2-8周（需长期治疗）
更年期角化症,3个月
妇科综合,根据不同妇科疾病，治疗周期不同
小儿脂肪吸收不良,3个月或更长
口腔疾病,根据不同口腔疾病，治疗周期不同
肱骨上端骨骺分离,1-3年
脊髓刃器伤,治疗周期1-3个月
小儿直肠脱垂,10-30天
骨病,根据不同骨病，治疗周期不同
阿米巴痢疾,3-6周
脊髓神经鞘瘤,4-6个月
小儿指甲-髌骨综合征,3-6个月或更长
脊髓栓系综合征,3-6个月
小儿致心律失常性右室心肌病,1-3个月
股骨髁上骨折,1-3个月
妇科病,根据不同妇科疾病，治疗周期不同
脊髓性肌萎缩,间歇性对症治疗
小儿中毒型痢疾,7-14天
股骨头骨折,1-3个月
肿瘤,3个月-6个月
脊柱脊髓损伤,1-2个月
小儿中暑和暑热症,1-2个月
股骨转子间骨折,1-3个月
继发性单克隆免疫球蛋白病,1-2年
血管病,根据不同血管疾病，治疗周期不同
小儿重症肌无力,3-5年
股神经干性痛,1个月
内分泌病,根据不同内分泌疾病，治疗周期不同
继发性腹膜炎,3-6个月
小儿周期性低血钾性麻痹,1-2周
脊柱疾病,根据不同脊柱疾病，治疗周期不同
小儿周期性高血钾性麻痹,2-3周
骨产道异常性难产,1-2个月
脑病,根据不同脑部疾病，治疗周期不同
小儿周期性正常血钾性麻痹,3-6周
继发性骨髓纤维化,1-3个月
骨恶性淋巴瘤,1-3个月
小儿周围淋巴结结核,1-3年
遗传病,1--3个月，有些遗传病需要终生治疗
骨骺点状发育不良,1-3年
继发性红细胞增多症,6-12周
小儿皱梅腹综合征,2-4月
甲状腺疾病,根据不同甲状腺疾病，治疗周期不同
骨良性纤维组织细胞瘤,3个月
继发性化脓性腹膜炎,10-15天
小儿侏儒-视网膜萎缩-耳聋综合征,3-6个月或更长
牙病,根据不同牙部疾病，治疗周期不同
骨膜软骨瘤,3-6个月
口腔病,根据不同口腔疾病，治疗周期不同，一般10至20天
骨纤维肉瘤,1-2个月
小儿珠蛋白生成障碍性贫血,1-3个月
继发性皮肤CD30阳性大细胞淋巴瘤,1-3年
关节疼痛,
骨纤维异样增殖症,1-3个月
继发性皮肤滤泡中心细胞性淋巴瘤,1-12个月
咽喉痛,7-15天
骨血管内皮细胞瘤,1-3个月
小儿猪带绦虫病和囊虫病,3-6个月
继发性痛经,3-6个月
盆腔疾病,10天
小儿注意缺陷障碍,7-30天
继发性系统性淀粉样变,10-30天
乳腺疾病,根据不同乳腺疾病，治疗方法不同治疗时间不同
小儿转移性骨肿瘤,30--60天
固定性斜视,1-3个月
继发性血小板增多症,1-3个月
支气管病,根据不同支气管疾病，治疗周期不同
小儿椎管内肿瘤,1-2个月
腘血管陷迫综合征,1-3个月
继发性粘连性蛛网膜炎,1-3个月
继发于严重肝疾患的棘红细胞增多症,3--10周
神经类疾病,根据不同神经类疾病，治疗周期不同
小儿锥体功能不良综合征,10-30天
耳病,根据不同耳部疾病，治疗周期不同
寒冷性红斑,7-14天
小儿紫斑湿疹综合征,2-4周
寄生虫妄想,1-3个月
汗孔角化病,2-4月
小儿自律性房性心动过速,1-3周
食管病,根据不同食管疾病，治疗周期不同
寄生虫性关节炎,3个月
黑布拉痒疹,1-3个月
月经病,根据不同月经类疾病，治疗周期不同
寄生虫性尿路感染,7-14天
红细胞生成性卟啉病,3-5月
小儿自身免疫性淋巴细胞增生综合征,1-3个月
肛肠病,7天-15天
加利福尼亚脑炎,3-6月
虹膜黑色素瘤,10-30天
小儿自身免疫性溶血性贫血,1-2个月
鼻病,根据不同鼻部疾病，治疗周期不同
加速性房性逸搏心律,2--4周
喉气管食管裂,2-4月
加速性室性自主心律,1-3年
血压病,根据不同血压类疾病，治疗周期不同
小儿纵隔囊肿及肿瘤,1年
淋巴病,根据不同淋巴疾病，治疗周期不同
小儿纵隔压迫综合征,10-30天
家族性出血性肾炎,3个月
细菌感染,根据不同细菌的感染，治疗周期不同
后葡萄膜炎,3—6个月
小儿阻塞性睡眠呼吸暂停,1-3个月
家族性地中海热,1-3个月
小儿柞蚕蛹性脑病综合征,1--3个月
家族性高胆固醇血症,6-8周
试管婴儿,治疗周期280天
小汗腺汗管纤维腺瘤,6个月
家族性红细胞增多症,本病可反复发作，故治疗周期不明确
厚皮性骨膜病,1-3年
分娩,一周时间
小汗腺汗囊肿,7--14天
家族性混合型高脂血症,1-6月
呼吸肌疲劳症,2个月
双性恋,30天
小汗腺血管错构瘤,3-6个月
忽略症,1-2个月
家族性甲状腺非髓样癌,3-6个月
小汗腺痣,2-4周
滑石粉尘肺,3-6个月
家族性抗维生素D佝偻病,终身用药控制
小颌畸形综合征,1-2年
化学液体吸入,7--21天
皮质性遗忘症,5-7月
家族性良性天疱疮,30天
小棘毛壅病,3-5月
踝关节软骨损伤,14天
淋巴结结核,3-6个月
家族性黏液血管纤维瘤,8-12周
坏疽性脓皮症,6-12周
硬斑,3-6个月左右
家族性渗出性玻璃体视网膜病变,1--3个月
寰枢椎脱位,30天
家族性异常β脂蛋白血症,终身间歇性治疗
足外翻,1-3个月
小棘苔藓,30天
家族性载脂蛋白B100缺陷症,30天
寰椎沟环畸形,1-3年
梦游症,进入青春期后多能自行消失
荚膜组织胞浆菌病,3-6个月
副耳,7天
埃莱尔-当洛综合征,1-3个月
小螺菌感染,2-3个月
甲亢性心脏病,1-2个月
会阴疝,4-8周
腕枪刺状畸形,6-9个月
甲良性肿瘤,3个月
惠普尔病,4-8周
剥脱性皮炎,1-3个月
火激红斑,7-10天
小脑幕脑膜瘤,10-30天
甲内型甲真菌病,3-4周
单次发作抑郁症,3-6个月
获得性循环抗凝物质增多症,3-5年
小脑脑桥角脑膜瘤,2-6个月
甲下外生骨疣,10-30天
撕脱骨折,1-3个月
肌肉肌腱单位的急性损伤,1-2个月
小提琴手颈部皮炎,3-6周
甲型病毒性肝炎,3-6周
植物神经功能障碍,需要终身治疗
肌张力障碍综合征,需要长期治疗
甲状旁腺功能减退性心肌病,3个月
小腿动脉损伤,1个月
孤独症,1-3年
积乳囊肿,2-4周
甲状旁腺功能减退症,数月-数年
痔核,4-8周
小腿红绀病,6-12个月
甲状旁腺功能亢进性心肌病,1-2年
发育性骨盆异常,3-6个月
小网膜囊疝,1-2月
甲状旁腺功能异常伴发的精神障碍,3-6个月
成人多动症,1-2年
基底细胞癌,1-3个月
心包内恶性畸胎瘤,3个月
甲状腺功能减退症,1-3年
吉特林综合征,需长期服药治疗
舌炎,7-14天
心包切开术后综合征,1个月
急性横贯性脊髓炎,3-6个月
甲状腺功能亢进性骨矿疾病,3-6个月
足癣,一个月左右
心包胸腺瘤,3-5月
急性化脓性脑膜炎,30天
甲状腺功能亢进性心肌病,3-6个月
丧偶后适应性障碍,3个月左右
心动过速性心肌病,30天
痢疾,7-14天
甲状腺功能亢进症的肾损害,3-6个月
心-耳综合征,1-3个月
急性化脓性胃炎,3-6周
信息成瘾,1-3年
甲状腺功能异常伴发的精神障碍,1-3个月
心房颤动,30天
急性酒中毒,根据不同病情，一般是10-30天
胸廓畸形,1-3月
甲状腺结核,2-3年
心房内传导阻滞,1-3个月
急性粒细胞缺乏,3-6个月
遗传性肥胖,1-3个月
贾第虫病,2-4月
心房内折返性心动过速,3-6个月
急性淋巴细胞白血病,2-3年（后续治疗的目的是为了防止复发，给予持续时间为2年的化疗）
表演型人格障碍,3-6月
心房扑动,75天
急性咽炎,15天
病理性REM睡眠,120天(需要终身治疗)
心肌桥,1-3个月
假斑秃,2-4年
传导性腹痛,14-28天
急性硬脑膜下血肿,10-30天
心脏乳头样弹性纤维瘤,10-15天
假性高血压,2-4周
脊髓分裂症,1-2个月
β-氨基酸尿,1-2个月
心脏脂肪瘤,14--21天
脊椎化脓性骨髓炎,3个月
气压伤,治疗周期1～3个月
心脏直视手术所致神经疾病,3-6月
内分泌功能亢进,1-3个月
假麦格综合征,4-8周
心脏骤停与心肺脑复苏,1-3个月
假性黑棘皮病,无需治疗，减肥后可自行消失
假性肠梗阻,5-10天
糙皮病样皮疹,3个月左右
心脏转移瘤,30天
肩峰下滑囊炎,3-6个月
心脏转移性恶性黑色素瘤,2-4月
肩峰下撞击征,30天
先天性X因子缺乏,3-6个月
肩关节周围炎,2-3年
肩关节不稳定,3个月
锌及其化合物引起的皮肤病,1个月
先天性少白头,3个月
新生儿B链球菌感染,7-14天
营养代谢缺乏,2-4个月
新生儿Rh血型不合溶血病,3-6月
肩胛背神经卡压症,2-4周
肩锁关节脱位,1-3个月
心脏淤积淀粉样物质,3-6个月
新生儿Wilson-Mikity综合征,40天
埃可病毒疹,1个月
肩胛骨体部骨折,3-6个月
高睾酮血症,3-4月
腱病,10-14天
新生儿出血症,1-2周
肩胛颈及肩胛盂骨折,3个月
低氯性碱中毒,14-28天
浆细胞白血病,1-3年
肩胛上神经卡压症,1-3个月
新生儿单纯疱疹病毒感染,以皮肤粘膜损害为主的建议治疗14天；以中枢神经系统损害为主的建议治疗21天
浆细胞性唇炎,10天
新生儿低钠血症,2-5天
肩袖间隙分裂,3-6个月
病理性近视,1-3个月
新生儿低体温,4周
肩袖损伤,15-30天
胶样粟丘疹,1-2个月
新生儿低血糖症,1-7天
角膜基质炎,2-4周
溶血性黄疸,1-2周
睑球粘连,1-3个月
珍珠丘疹,治疗周期1个月
新生儿反应低下,1-7天
结缔组织痣,2-6周
腱鞘巨细胞瘤,1-3个月
运动性闭经,2-4个月
结节性甲状腺肿,3个月（术后经常有甲状腺功能减退，必须以甲状腺激素终身替代治疗。）
新生儿高血糖症,1-3周
腱鞘囊肿,1-3周
增殖体肥大,30天腺样体切除术需要住院全麻手术一般需要住院一周
进行性核上性麻痹,终身间歇性对症治疗
交叉性异位肾,3-6个月
新生儿佝偻病,1-3个月
强迫型人格障碍,1-3个月
晶状体蛋白过敏性青光眼,1-3月
交感神经链综合征,3-6个月
新生儿寒冷损伤综合征,1-14天
冲动型人格障碍,3-6个月
胶质母细胞瘤,3－6个月
新生儿红细胞增多症-高黏滞度综合征,1--3个月
精索恶性肿瘤,1个月
细菌性心内膜炎,3-5周
角层下脓疱性皮肤病,2个月
颈部火器性异物,3-6月
新生儿喉喘鸣,3-6个月
完全流产,2-4周
角化棘皮瘤,1-3年
颈淋巴结结核,12个月以上
新生儿坏死性小肠结肠炎,2-4周
风湿性血管炎,7-21天
角膜鳞状细胞癌,3个月
颈椎半椎体畸形,4-6月
新生儿急性肾功能衰竭,2-4月
鼻前庭囊肿,30天
脚癣,30天
新生儿柯萨奇病毒B感染,7-14天
化学性支气管炎,1-3个月以上
颈椎间盘突出症,3-5周
接触性唇炎,1-3年
新生儿泌尿系统感染,1-2周
盲肠阿米巴肉芽肿,1-3个月
颈椎椎管狭窄症,14天
节段性透明性血管炎,10-15天
新生儿尿布皮炎,1-2周
胫骨平台骨折,90天
Asperger综合征,治疗周期1年
洁癖,1—3个月
新生儿破伤风,3-6个月
胫前黏液水肿,2-3个月
结肠类癌,2-4月
传导性耳鸣,2-4个月
静脉曲张综合征,手术治疗7--21天
结肠破裂,2-4月
新生儿迁延性胆汁淤积性黄疸,1-3个月
局限性胸膜间皮瘤,3-6个月
血管痣,3-6周
结肠血管畸形,3--8周
新生儿青紫,2-4周
病理性神经损伤,3-6月
巨细胞病毒性肺炎,4～6周
结肠血管扩张症,3个月
锥体外系损害,3-6个月
咽喉炎,7-14天
结核性巩膜炎,3个月
Kartagener综合征,3个月
新生儿生理性黄疸,7-14天
结核性脊髓炎,3-6个月
开放性气胸,14--21天
氨基酸尿症,1-3个月
结核性角膜病变,3-6个月
埃博拉病毒病,2-3周
新生儿失血性贫血,1-30天
烟草依赖综合症,治疗周期1—3个月
结核性胸膜炎,3-6月
堪萨斯分枝杆菌感染,3-6个月
新生儿头颅血肿,3-5月
下呼吸道感染,7-15天
结核性阴道炎,4-6月
新生儿晚期代谢性酸中毒,2-4周
阴道囊肿,一周
结节性脆发病,1-2个月
口周皮炎,2-5月
新生儿胃穿孔,2-4周
结节性多动脉炎性巩膜炎,2--6周
库鲁病,大部分需要终身用药
新生儿先天性胆道闭锁,3-5月
结节性筋膜炎,1-3个月
髋臼骨折,60天
新生儿先天性膈疝,2-4周
结节性血管炎,3个月
包涵囊肿,7-30天
眶内海绵状血管瘤,2-4个月
胚胎遗留性囊肿,10-15天
结节性痒疹,1-3年
新生儿先天性弓形体感染,1-4月
溃疡分枝杆菌感染,7-14天
结节性脂肪坏死,1-3个月
新生儿消化道重复症,3-6个月
外阴包涵囊肿,7-30天
结直肠血管瘤,1-3个月
新生儿心肌炎,30天
莱姆病性巩膜炎,3个月
阴道良性肿瘤,2-3个月
睫状环阻滞性青光眼,1个月
新生儿心律失常,1-7天
阴道肿瘤,1-3个月
老年期抑郁症,1-3个月
睫状体黑色素瘤,1-2个月
老年性昏迷,4-6周
新生儿休克,7天
生理性卵巢囊肿,手术治疗一至两周
老人腹股沟斜疝,1-2个月
戒酒综合征,10天
新生儿血小板减少性紫癜,3-6个月
良性肿瘤,1个月
金黄色葡萄球菌性边缘性角膜炎,2-4月
新生儿咽下综合征,1-2天
金属性变色,1-2个月
新生儿衣原体感染,10-30天
睡眠相位后移综合症,3-6个月
泪囊炎,7天
金属引起的口腔黏膜疾病,8-12周
新生儿乙型肝炎,2-3月（需长期治疗）
阴虚,1-3个月
泪腺肉样瘤病,1-3年
新生儿紫癜,2-4周
里尔黑变病,1-3个月
筋膜间隔区综合征,1-3个月
恐惧症,3-6月
新生血管性青光眼,1-3个月
立克次体痘,1-3个月
胃肠疾病,1-2周
近视,2-5年
利斯特菌脑膜炎,2-4个月
卵巢病,根据不同疾病治疗周期不同
进行性骨干发育不良,1-3个月
新型隐球菌性脑膜炎,1-6个月
门静脉高压,2-4周
外生殖器畸形,7-10天
进行性肌营养不良症,1-3年
星形病毒胃肠炎,2-6周
镰状细胞贫血,2-4个月
恋童癖,病情的严重程度不一样，治疗周期也不一样
行军性血红蛋白尿,2-4周
进行性色素性紫癜性皮病,1-3个月
眼结石,1-2周
性病神经症,3-6个月
进行性脂肪营养不良,大部分需要终身治疗
链杆菌病,14-21天
接触性荨麻疹,2-6周
性病相关性胃肠道感染,7-30天（艾滋病需终身治疗）
良性淋巴上皮病,3个月
寒性荨麻疹,2-6周
浸渍足,1-3个月
性厌恶,3-6个月
颅底凹陷症,1-3个月
经膈肌肋间疝,10-15天
胸、腰椎椎体单纯性、楔形压缩骨折,4-7月
颅骨骨折,对症治疗和手术治疗14天药物治疗和支持治疗3-6个月
慢性荨麻疹,2-6周
晶状体膨胀所致青光眼,1-3个月
胸壁骨肿瘤,2-4月
颅骨纤维异常增生症,3个月
胸壁皮下气肿,2-4周
肠道传染病,1-2周
颅内低压综合征,7天
晶状体溶解性青光眼,3个月
胸壁软组织畸形,7--14天
肠伤寒,根据不同医院，收费标准不一致，市三甲医院约（1000——5000元）
颅内高压综合征,2-3周
晶状体脱位所致青光眼,3-6个月
胸壁软组织损伤,2-4周
甲型副伤寒,14天
颅中窝脑膜瘤,1-2个月
晶状体相关葡萄膜炎,2-4周
胸壁软组织肿瘤,1--3周
沙门氏菌性肠炎,7-14天
旅行者腹泻,14天
晶状体异位,3-6个月
胸壁深部软组织感染,30天
Marie-Bamberger综合征,1-3年
精囊恶性肿瘤,国内最认可的有效治疗手段的该病治疗周期（治疗周期120天）
人工性荨麻疹,一般无需治疗
胸部阿米巴病,1-3个月
麻痹性肠梗阻,7--14天
血清性荨麻疹,3-7天
精囊结石,7-10天
胸部放线菌病,40天
麻风,1-3年
胸部丝虫病,3-6个月
沙门氏菌性肺炎,治疗周期7-14天
精囊囊肿,3-8周
麦收皮炎,7天
胸长神经卡压症,1-3个月
胆碱能性荨麻疹,2-6周
脉络膜缺血,1-2年
颈部脊髓损伤,1-3个月
胸导管损伤,30-60天
急性荨麻疹,2-6周
颈部开放性损伤,10-15天
胸腹主动脉动脉瘤,1-2个月
侵袭性大肠埃希氏菌肠炎,1-2周
颈部勒伤,3-6周
干酪性鼻窦炎,120天
颈部血管瘤,手术治疗周期14天
脉络膜转移癌,1-2个月
胸骨骨髓炎,2--4周
阿米巴病肠穿孔,2-4周
颈部血管损伤,1-3个月
慢性化脓性胸膜炎,1-3个月
胸内肾,2-4月
慢性阿米巴病肠炎,2周左右
颈丛神经卡压症,14--21天
慢性进行性眼外肌麻痹,3-6个月
胸内异物,1-7天
颈动脉创伤性栓塞,1-3个月
嗜水气单胞菌肠炎,1-2周
颈动脉窦综合征,3-6个月
新生儿出血性大肠杆菌肠炎,1-2周
颈动脉海绵窦瘘,1-3个月
胸腺癌,30－180天
慢性乳头状溃疡性脓皮病,1-2个月
新生儿侵袭性大肠杆菌肠炎,1-2周
慢性硬脑膜下血肿,1年
颈动脉狭窄,3个月
慢性阿米巴性痢疾,2周左右
慢性自律性房性心动过速,2-4周
胸腺类癌,2-4月
颈静脉球瘤,14天
呼吸道结核病,3-6个月
毛发腺瘤,2-4周
胸腺小细胞癌,3个月
颈肋,3-6个月
细菌性结肠炎,1周
门静脉海绵样变,3-6月
胸椎后纵韧带骨化症,1-2年
