"diseaseID","disease_name","part","age","infect","insurance","department","checklist","treatment","drugs","period","rate","money"
7246,小儿脑脓肿,颅脑,儿童,无传染性,非医保疾病,脑外科 儿科,颅脑CT 颅脑MRI 颅脑超声检查 脑脊液蛋白定量 脑脊液细胞计数 [详细],药物治疗、手术治疗 ,氯霉素 红霉素 甲硝唑,10-30天,10%,nan
7247,偏沮,全身,所有人群,无传染性,非医保疾病,中医科,暂无相关资料,药物治疗 ,>> 应该如何用药？用什么药？,nan,80%,市三甲医院约（3000 —— 8000元）
7248,眼酸硷化学伤,眼,所有人群,无传染性,医保疾病,眼科 外伤科,眼及眶区CT [详细],手术治疗 支持治疗 ,半胱氨酸,7-30天,30%,nan
7249,骨癌,关节 肋骨,所有人,无传染性,医保疾病,肿瘤科,MRI 骨与关节MRI 骨髓穿刺 骨显像 骨关节及软组织CT [详细],手术治疗、放射治疗、西药治疗、化疗 ,来那度胺胶囊 乌金活血止痛胶 茵哞牌今幸胶囊,nan,40-50%(外科手术治疗),nan
7250,委内瑞拉马脑炎,颅脑,所有人群,有传染性,非医保疾病,神经内科 传染科,血清阳离子 脑脊液钙 脑脊液结合型髓鞘碱性蛋白 [详细],药物治疗 ,盐酸替扎尼定片 安宫牛黄丸 盐酸金刚乙胺口,1个月,40%,市三甲医院约（5000 —— 10000元）;
7251,小儿先天性红细胞生成异常性贫血,血液血管,儿童,无传染性,非医保疾病,儿科 血液科,骨髓象分析 血清间接胆红素 尿胆原 去铁胺试验 网织红细胞生成指数 [详细],未知,潞党参膏滋 小儿生血糖浆 小儿生血糖浆,nan,暂无相关资料,nan
7252,继发性纵隔感染,纵膈,所有人群,无传染性,非医保疾病,心胸外科 外科,食管造影 胸部平片 [详细],手术治疗 ,复方金刚烷胺氨 小金丸 舒筋活血片,21天,74%,nan
7253,顽痹,关节,体虚老年人,无传染性,非医保疾病,中医科,暂无相关资料,中医药物治疗 ,益肾蠲痹丸 益肾蠲痹丸 金关片,1-3个月,70%,市三甲医院约（500 —— 1000元）
7254,光线性弹力纤维病,皮肤,所有人群,无传染性,非医保疾病,皮肤科,细胞组织化学染色 免疫病理检查 [详细],药物治疗 ,维A酸乳膏 复方蛇脂软膏 维生素C咀嚼片,3--8周,40--50%,nan
7255,小儿白细胞黏附分子缺陷Ⅱ型,血液血管,儿童,无传染性,非医保疾病,皮肤科 儿科,中性粒细胞计数 [详细],对症治疗 药物治疗 ,注射用头孢他啶 注射用头孢他啶 胸腺肽肠溶片,终身间歇性治疗,暂无相关资料,nan
7256,镍及其化合物引起的皮肤病,皮肤,所有人群,无传染性,非医保疾病,皮肤科,皮肤斑贴实验 [详细],药物治疗 ,二巯丙醇,3-6个月,50-70%,nan
7257,蔗尘肺,肺,所有人群,无传染性,医保疾病,呼吸内科,血沉方程K值 支气管肺泡灌洗术 T淋巴细胞亚群 血清免疫球蛋白G亚类 肺功能 [详细],对症治疗 ,应该如何用药？用什么药？,3-6年,30%,nan
7258,油性肉芽肿,免疫系统,任何人群,无传染性,非医保疾病,皮肤科,浆细胞 皮损 [详细],手术治疗 ,西洛他唑片 聚甲酚磺醛溶液 硼酸洗液,1-3个月,75%(外科手术为主),nan
7259,小儿肾性糖尿,肾,婴幼儿,无传染性,非医保疾病,儿科 肾内科,半乳糖耐量试验 果糖耐量试验 葡萄糖耐量试验 尿葡萄糖 肾小球滤过率 [详细],病因治疗、对症治疗 ,胰岛素注射液 二甲双胍格列吡 二甲双胍格列吡,3-6个月,40%,nan
7260,小儿遗传性果糖不耐受,肝 皮肤,小儿,无传染性,非医保疾病,儿科 内分泌科,血液生化六项 大生化检查 果糖耐量试验 [详细],药物治疗 对症治疗 ,叶酸,2--4周,40%,nan
7261,小儿结节性脂膜炎,皮肤,儿童,无传染性,非医保疾病,儿科 皮肤科,皮肤病的物理检查 皮肤涂片显微镜检查 血沉方程K值 脑电图 胸部平片 [详细],西药治疗 ,醋酸泼尼松片 硫唑嘌呤片 硫唑嘌呤片,3-5年,20-40%,nan
7262,眼部猪囊尾蚴病,眼,所有人群,有传染性,非医保疾病,眼科,便常规 角膜荧光素染色 MRI [详细],手术治疗、药物治疗 ,吡喹酮片 肥儿丸 七味酸藤果丸,2-4周,60%,市三甲医院约20000--50000;
7263,脑膜炎球菌血症,皮肤 血液血管,所有人群,有传染性,非医保疾病,血液科 神经内科,氧化酶试验 脑脊液的化学检查 脑膜刺激征 血清抗隐球菌抗体 积液溶菌酶 脑脊液钙调蛋白 脑脊液谷氨酰胺 脑脊液环磷鸟苷 李文生试验 耳、鼻、咽拭子细菌培养 [详细],药物治疗、对症治疗 ,左氧氟沙星片 氨苄西林胶囊 替硝唑片,7-14天,50%,市三甲医院约（5000——15000元）;
7264,小儿半乳糖血症,肝 颅脑,儿童,无传染性,非医保疾病,儿科 内科,半乳糖血症筛查 [详细],药物治疗 ,小儿清热宁颗粒 小儿五维赖氨酸 小儿康颗粒,3个月,60%,nan
7265,椎间盘膨出,其他,成年人,无传染性,医保疾病,骨科,nan,未知,葡萄糖酸钙口服 组织修补片 胸腰部外固定器,nan,暂无相关资料,nan
7266,小儿硬化性胆管炎,胆,儿童,无传染性,非医保疾病,儿科 肝胆外科,静脉胆道造影 口服法胆道造影 大生化检查 肝功能 胆囊胆道B超 [详细],药物治疗 ,利福平 硫唑嘌呤 硫唑嘌呤,10-30天,30%,nan
7267,中心性软骨肉瘤,骨,所有人群,无传染性,非医保疾病,骨科 肿瘤科,MRI [详细],手术治疗 ,转移因子口服溶,2--6个月,30--50%,nan
7268,五脏痹,全身,中老年人,无传染性,非医保疾病,中医科,nan,中医药物治疗 ,应该如何用药？用什么药？,1-3月,85%,nan
7269,小儿肾性贫血,血液血管 肾,儿童,无传染性,非医保疾病,儿科 血液科,红细胞检查 出血时间 毛细血管脆性试验 骨髓象分析 肾功能 [详细],药物治疗 ,小儿生血糖浆 小儿生血糖浆 潞党参膏滋,3-6个月,40%,nan
7270,小儿醛固酮过多症,肾上腺,常染色体隐性遗传性疾病家族中较常见,无传染性,非医保疾病,儿科 肾内科,血液生化六项 螺内酯试验 唾液钠/钾比值 尿常规 血清醛固酮 [详细],手术治疗、药物治疗 ,螺内酯 螺内酯 螺内酯,3个月,40%,nan
7271,小儿肺栓塞,肺,婴幼儿,无传染性,非医保疾病,儿科 呼吸内科,肺量计 痰液免疫学检查 胸透 动脉血气分析 血浆D-二聚体 [详细],药物治疗、手术治疗 ,双香豆素片 醋硝香豆素片 利肺片,1-7天,1%,nan
7272,小儿帕套综合征,全身,婴幼儿,无传染性,非医保疾病,儿科 外科,绒毛膜促性腺激素β 染色体核型分析 血红蛋白 血清甲胎蛋白 [详细],对症治疗 ,琥乙红霉素片 硬脂酸红霉素片,1-3月,80%,nan
7273,异色性虹膜睫状体炎,眼,所有人群,无传染性,非医保疾病,眼科,瞳孔检查 常规小瞳孔检查 瞳孔外观 裂隙灯 角膜荧光素染色 [详细],药物治疗、手术治疗 ,注射用糜蛋白酶 双氯芬酸钠滴眼 注射用普罗碘铵,1-3个月,60%,nan
7274,骨血管外皮细胞瘤,骨,青少年,无传染性,非医保疾病,肿瘤科,血管造影 CT血管成像 [详细],中医药物治疗、西医药物治疗 ,平消片 复方斑蝥胶囊 华蟾素胶囊,2-4月,70%,nan
7275,无脉络膜症,眼,所有人群,无传染性,非医保疾病,眼科,眼底荧光血管造影 [详细],药物治疗 ,双氯芬酸钠,终身间歇性治疗,对症治疗为主，无法根治,nan
7276,继发性粘连性蛛网膜炎,脊柱 骨髓,所有人群,无传染性,非医保疾病,nan,脑膜刺激征 普通透视检查 MRI 脑脊液检查-化学检查-蛋白质检查 [详细],药物治疗 ,应该如何用药？用什么药？,1-3个月,65%,nan
7277,小儿亚硝酸盐中毒,全身 腹部,婴幼儿,无传染性,非医保疾病,消化内科 儿科,血红蛋白 心电图 胸部平片 便常规 血液生化六项 [详细],药物治疗 ,亚甲蓝注射液,2-4周,70%,nan
7278,小儿严重急性呼吸综合征,肺 全身,婴幼儿,无传染性,非医保疾病,儿科 呼吸内科,胸透 心电图 胸部CT 屏息试验 动脉血气分析 [详细],药物治疗 ,甲磺酸培氟沙星 甲磺酸培氟沙星 甲磺酸培氟沙星,1-7天,10%,nan
7279,骨骺点状发育不良,骨,婴幼儿,无传染性,非医保疾病,骨科 儿科,四肢的骨和关节平片 钼靶X线检查 [详细],对症治疗 ,醋酸钙颗粒,1-3年,对症治疗为主，治愈率约为65%,nan
7280,小儿肝素-血小板减少-血栓形成综合征,血液血管,儿童人群,无传染性,非医保疾病,儿科 血液科,血浆肝素 心电图 胸部平片 [详细],对症治疗、药物治疗 ,硫唑嘌呤片 硫唑嘌呤片 转移因子口服溶,3-10天,5%,nan
7281,小儿回盲肠综合征,肠,3--10岁儿童,无传染性,非医保疾病,消化内科 胃肠外科,腹部平片 腹部CT [详细],西医药物治疗 ,甲磺酸左氧氟沙 注射用盐酸阿糖 小儿暖脐膏,3个月,50%,nan
7282,透析性骨关节病,关节,慢性透析病人,无传染性,非医保疾病,骨科,肌电图 MRI 四肢的骨和关节平片 四肢CT [详细],西医药物治疗 ,美洛昔康片 舒林酸片 芬布芬片,3-6个月,60%,nan
7283,遗传性椭圆形红细胞增多症,血液血管,有此家族病史者,无传染性,非医保疾病,血液科,红细胞九分图分析 红细胞孵育渗透脆性试验 红细胞寿命 RDW 红细胞烯醇化酶 [详细],药物治疗 ,硫唑嘌呤片 硫唑嘌呤片 维生素E软胶囊,3个月,30%,nan
7284,成人全垂体功能减退,颅脑,所有人群,无传染性,非医保疾病,内分泌科 内科,脑血管造影 颅脑MRI 血清促甲状腺激素 血清促肾上腺皮质激素 神经系统检查 [详细],病因治疗 ,十一酸睾酮胶丸 宁心益智胶囊,1-3个月,60%,nan
7285,小儿肾性氨基酸尿症,肾,婴幼儿,无传染性,非医保疾病,儿科 肾内科,尿胱氨酸 尿酸 腹部平片 [详细],未知,硫普罗宁 硫普罗宁 青霉胺,nan,暂无相关资料,nan
7286,小儿室间隔完整型肺动脉闭锁,心脏,儿童,无传染性,非医保疾病,儿科 心血管内科,胸部磁共振 胸部平片 胸透 胸部CT 心电图 [详细],未知,盐酸地尔硫?缓 烟酸占替诺片 氨溴特罗口服溶,nan,暂无相关资料,nan
7287,重链病,血液血管 免疫系统,年轻人,无传染性,医保疾病,血液科 肾内科,骨髓象分析 心电图 肠镜 淋巴细胞数 [详细],药物治疗 ,泼尼松 甲硝唑 环磷酰胺,3个月,30%,nan
7288,系统性血管炎所致神经损害,血液血管,所有人群,无传染性,非医保疾病,神经内科,血沉方程K值 血清C反应蛋白 便常规 尿常规 肝功能 [详细],药物治疗 ,泼尼松 环磷酰胺 甲氨蝶呤,3个月,40%,市三甲医院约1000-3000元
7289,眼眶击出性骨折,眼 其他骨,所有人群,无传染性,非医保疾病,骨科 眼科,一般摄片检查 眼及眶区CT [详细],手术治疗 ,盐酸环丙沙星滴,2-4月,70%,nan
7290,副肿瘤性脊髓病,脊髓,所有人群,无传染性,非医保疾病,神经内科,自身免疫抗体检测 脑脊液寡克隆电泳分析 脑脊液蛋白 便常规 神经系统检查 [详细],病因治疗、对症治疗 ,注射用磷酸氟达 注射用磷酸氟达 磷酸氟达拉滨,1--3个月,40--60%,市三甲医院约（1000-5000元）
7291,小儿卡肺囊虫肺炎,肺,婴幼儿,无传染性,非医保疾病,儿科 呼吸内科,胸透 血氧含量 [详细],药物治疗 ,复方磺胺甲噁唑 复方磺胺甲噁唑 复方磺胺甲噁唑,2-4周,70%,nan
7292,环跳疽,关节,儿童,无传染性,非医保疾病,骨科 中医科,nan,药物治疗 ,应该如何用药？用什么药？,nan,100%,nan
7293,外伤性脑脓肿,颅脑 颅骨,所有人群,无传染性,非医保疾病,脑外科 外伤科,CT造影扫描 颅脑MRI [详细],药物治疗 ,氯霉素片 甲硝唑片 甲硝唑片,7-21天,20%,nan
7294,泄殖腔外翻,膀胱 肠,新生儿,无传染性,非医保疾病,泌尿外科,静脉尿路造影 肾脏B超 胰腺B超 [详细],手术治疗 ,应该如何用药？用什么药？,2-4周,40%,nan
7295,消散延迟性肺炎,肺,所有人群,无传染性,非医保疾病,呼吸内科,胸透 白细胞数 [详细],药物治疗 ,克拉霉素片 头孢克洛分散片 青霉素V钾片,1-2个月,65%,市三甲医院约2000-5000元
7296,颅骨巨细胞瘤,颅脑 颅骨,年龄偏大的男性发病率高,无传染性,非医保疾病,脑外科 肿瘤科,nan,手术治疗、化疗 ,华蟾素胶囊 替莫唑胺胶囊,2-4月,80%,nan
7297,脐膨出-巨舌-巨大躯体综合征,全身,所有人群,无传染性,非医保疾病,外科 普外科,血浆皮质醇 [详细],未知,葡萄糖注射液 双价肾综合征出 双价肾综合征出,nan,暂无相关资料,nan
7298,急性和亚急性硬脑膜下血肿,颅脑,所有人,无传染性,非医保疾病,脑外科 神经内科,颅脑CT 颅脑超声检查 脑血管造影 头颅平片 [详细],未知,七十味珍珠丸 盐酸甲氯芬酯胶 偏瘫复原丸,nan,暂无相关资料,nan
7299,视网膜后膜,眼,所有人群,无传染性,非医保疾病,眼科,检眼镜检查法 眼球及眼眶检查法 眼科检查 [详细],病因治疗、对症治疗 ,羟苯磺酸钙胶囊 复方樟柳碱注射,6-12个月,50-70%,nan
7300,腹主动脉腔静脉瘘,腹部 血液血管,新生儿,无传染性,非医保疾病,心血管内科 血管外科,静脉听诊 腹部平片 [详细],药物、手术治疗 ,阿莫西林克拉维 阿莫西林胶囊,1-3个月,30%,nan
7301,卡普兰综合征,关节,所有人群,无传染性,非医保疾病,风湿科 骨科,血清类风湿因子 胸部平片 [详细],药物治疗 ,盐酸苄达明片 水杨酸钠片 依托度酸片,3-6个月,40-50%,nan
7302,小儿血管免疫母细胞淋巴结病,血液血管 免疫系统,儿童,无传染性,非医保疾病,血液科 儿科,骨髓象分析 淋巴显像 混合淋巴细胞培养试验 大生化检查 血沉方程K值 [详细],药物治疗、化疗 ,甲氨蝶呤 甲氨蝶呤 巯嘌呤,3-6月,40%,nan
7303,五氯酚钠中毒,全身,所有人群,无传染性,非医保疾病,消化内科 急诊科,尿常规 血氧含量 动脉血氧含量 PaO2 血氧饱和度 [详细],药物治疗 ,注射用鼠神经生 注射用鼠神经生 多烯磷脂酰胆碱,1-3个月,40%,nan
7304,鼻中隔溃疡,鼻,所有人,无传染性,非医保疾病,耳鼻喉科,鼻腔内镜 [详细],药物治疗 ,维生素C片 维生素B2片,nan,60-80%,市三甲医院约（200 —— 1000元
7305,小儿梅克尔憩室,肠,儿童,无传染性,非医保疾病,儿科 内科,腹部平片 食道X线钡餐 小肠造影 异位胃粘膜显像 [详细],手术治疗 ,聚卡波非钙片 颠茄片 颠茄片,2-4月,80%,nan
7306,血红蛋白D病,血液血管,所有人群,无传染性,非医保疾病,血液科,异常红细胞形态 靶形红细胞 心电图 [详细],不影响正常生长发育、不用特殊治疗 ,生血宝合剂 复方锌铁钙口服 碳酸氢钠注射液,2-3年,40-60%,nan
7307,先天性胫骨缺如,下肢骨 小腿,小儿,无传染性,非医保疾病,骨科,骨与关节MRI 四肢的骨和关节平片 X线碘油造影 骨关节及软组织CT [详细],未知,应该如何用药？用什么药？,nan,暂无相关资料,nan
7308,小儿柞蚕蛹性脑病综合征,颅脑 其他,儿童,无传染性,非医保疾病,儿科 神经内科,脑电图 [详细],药物治疗 康复治疗 ,盐酸苯海索片 扑米酮片,1--3个月,75%,nan
7309,心包内恶性畸胎瘤,纵膈,所有人群,无传染性,非医保疾病,心胸外科 肿瘤科,经食管超声心动图 多普勒超声心动图 二维超声心动图 M型超声心动图 胸部平片 [详细],手术治疗 ,苦参碱氯化钠注 苦参碱氯化钠注 注射用硫酸长春,3个月,30%,nan
7310,小儿嗜铬细胞瘤,肾,所有人群,无传染性,非医保疾病,神经内科 肿瘤科,胰高糖素激发试验 酚妥拉明阻滞试验 尿液去甲肾上腺素 尿肾上腺素 血清NSE [详细],药物治疗 ,阿替洛尔片 三磷酸腺苷二钠 三磷酸腺苷二钠,1--3月,50%,nan
7311,妊娠合并动脉导管未闭,心脏 女性生殖,孕妇可,无传染性,非医保疾病,心血管内科 内科,心电图 二维超声心动图 血管造影 毛细血管搏动征 选择性心血管造影 [详细],未知,应该如何用药？用什么药？,nan,暂无相关资料,nan
7312,羰基镍中毒,全身,所有人群,无传染性,非医保疾病,呼吸内科 急诊科,尿常规 胸部平片 肝功能 肾功能 全血镍 [详细],药物治疗 ,注射用鼠神经生 注射用鼠神经生 多烯磷脂酰胆碱,2--10周,20%,nan
7313,小儿远端肾小管酸中毒,肾,婴儿,无传染性,非医保疾病,儿科 肾内科,尿酸碱度 血液电解质 血清钾 尿氨 剩余碱 [详细],未知,碳酸氢钠 碳酸氢钠 氢氯噻嗪片,nan,暂无相关资料,nan
7314,横膈下结肠嵌入综合征,腹部,所有人,无传染性,非医保疾病,消化内科 内科,纤维结肠镜 乙状结肠镜检查 [详细],未知,枸橼酸莫沙必利 五灵止痛胶囊 元胡止痛胶囊,nan,暂无相关资料,nan
7315,腹腔肺吸虫病,腹部,所有人群,有传染性,非医保疾病,心胸外科 传染科,肺吸虫皮内试验 腹腔脏器的叩诊 腹水检查 痰液细菌涂片 直接涂片检查 [详细],药物治疗、手术治疗 ,吡喹酮片 苯妥英钠片 苯妥英钠片,1-3个月,40%-60%,市三甲医院约10000--50000
7316,温虐,全身,所有人群,无传染性,非医保疾病,中医科,nan,药物治疗 ,安宫牛黄丸 石斛夜光丸,nan,100%,nan
7317,小儿抗磷脂综合征,免疫系统 血液血管,儿童,无传染性,非医保疾病,儿科 血液科,狼疮性抗凝因子 血清抗磷脂抗体 [详细],药物治疗 ,脂脉康胶囊 脂脉康胶囊,3个月,40%,nan
7318,小儿黑酸尿综合征,眼 耳,尿黑酸氧化酶的先天性缺乏者,无传染性,非医保疾病,儿科,nan,药物治疗、手术治疗 ,维生素C片 维生素C片 六味地黄丸,>120天(终身间歇性治疗),暂无相关资料,nan
7319,获得性高脂蛋白血症,血液血管,所有人群,无传染性,非医保疾病,心血管内科,血脂 血清学反应 [详细],病因治疗 ,奥利司他片 辛伐他汀片,6-12个月,65%,市三甲医院约（1000-5000元）
7320,纳尔逊综合征,皮肤 颅脑,所有人群,无传染性,非医保疾病,内分泌科,头颅平片 血清促肾上腺皮质激素 血浆皮质醇 颅脑MRI 颅脑超声检查 [详细],手术治疗 ,>> 应该如何用药？用什么药？,1--6个月,10%,市三甲医院约（5000-10000元）
7321,获得性视网膜大动脉瘤,眼,所有人群,无传染性,非医保疾病,眼科,眼底荧光血管造影 [详细],激光治疗 ,胰激肽原酶肠溶 羟苯磺酸钙胶囊,2-4周,外科手术治愈率约为75%,nan
7322,回旋状脉络膜视网膜萎缩,眼,所有人群,无传染性,非医保疾病,眼科,眼底荧光血管造影 [详细],病因治疗、对症治疗 ,重组人表皮生长 盐酸特比萘芬片 维A酸乳膏,2--8周,30%,nan
7323,战壕热,全身,所有人群,有传染性,非医保疾病,传染科 中医科,凝集实验 [详细],药物治疗、对症治疗 ,诺氟沙星胶囊 注射用克林霉素,2-4周,70-80%,不同医院收费标准不一致，市三甲医院约（2000 —— 5000元）;
7324,小儿慢性大疱性疾病,皮肤,儿童人群,无传染性,非医保疾病,儿科 皮肤科,皮肤病的物理检查 [详细],药物治疗、局部治疗 ,赖氨酸磷酸氢钙 利巴韦林胶囊,3个月,40%,市三甲医院约1000--5000
7325,松毛虫病骨关节病,皮肤 关节,所有人群,无传染性,非医保疾病,骨科 中医科,四肢的骨和关节平片 [详细],病因治疗、对症治疗 ,萘丁美酮胶囊 萘丁美酮胶囊 萘丁美酮胶囊,3个月,40%,nan
7326,肺荚膜组织胞浆菌病,肺,所有人群,无传染性,非医保疾病,呼吸内科 传染科,痰液细菌培养 痰液细菌涂片 痰液显微镜检查 痰液病原体 补体结合试验 [详细],药物治疗 ,伊曲康唑胶囊 氟康唑片 氟康唑胶囊,3-6月,50%,nan
7327,继发于严重肝疾患的棘红细胞增多症,血液血管 肝,严重肝疾患者,无传染性,非医保疾病,血液科,红细胞九分图分析 红细胞孵育渗透脆性试验 甲种胎儿球蛋白试验 红细胞生成素 红细胞烯醇化酶 [详细],对症治疗 ,金酸萍糖浆 辅酶Q10胶囊,3--10周,3%,市三甲医院约（20000 —— 50000元）
7328,睫状体黑色素瘤,眼,所有人群,无传染性,非医保疾病,眼科 肿瘤科,巩膜透照 MRI [详细],手术治疗、放射治疗 ,注射用达卡巴嗪 注射用糜蛋白酶,1-2个月,外科手术治愈率约为75%,nan
7329,新生儿消化道重复症,食管 胃,新生儿,无传染性,非医保疾病,消化内科 胃肠外科,腹部平片 胸部平片 腹部CT 胃肠道疾病的超声检查 McNealy-McCallister试验 [详细],手术治疗 ,枯草杆菌二联活 健儿消食口服液 启脾丸,3-6个月,外科手术治愈率约为60-80%,nan
7330,肺诺卡菌病,肺,所有人群,无传染性,非医保疾病,呼吸内科 传染科,胸部平片 肺活检 痰液细菌培养 痰液细菌涂片 痰液显微镜检查 [详细],药物治疗、支持疗法 ,氧氟沙星胶囊 磺胺嘧啶混悬液 头孢羟氨苄片,4-8周,80%,nan
7331,加利福尼亚脑炎,颅脑,所有人群,有传染性,非医保疾病,神经内科 传染科,血清阳离子 白细胞分类计数 脑脊液钙 淋巴细胞脉络丛脑膜炎补体结合试验 免疫电泳 脑脊液结合型髓鞘碱性蛋白 [详细],支持治疗、对症治疗 ,羚羊角口服液 牛磺酸颗粒 银柴颗粒,3-6月,60%,市三甲医院约（6000 —— 10000元）;
7332,黏多糖贮积症Ⅴ型,骨 心脏,儿童,无传染性,非医保疾病,内分泌科 儿科,尿常规 [详细],药物治疗 ,肠多糖片 肠多糖片 肠多糖片,终身治疗,20-30%，大多以控制症状为主,nan
7333,向颈段脊髓供血的根动脉缺血症候群,颈部 脊髓,所有人群,无传染性,非医保疾病,血管外科 骨科,上肢动脉功能试验 [详细],病因治疗、对症治疗 ,七十味珍珠丸 同仁大活络丸 珊瑚七十味丸,1-3月,75%,市三甲医院约（1000-5000元）
7334,小儿肾淀粉样变性,肾,多见于儿童,无传染性,非医保疾病,肾内科,蛋白电泳 血清冷纤维蛋白原 放射性核素肾扫描 腹部平片 [详细],未知,呋塞米注射液 呋塞米注射液 秋水仙碱片,nan,暂无相关资料,nan
7335,器械性食管损伤,食管,所有人群,无传染性,非医保疾病,心胸外科,上消化道造影 食管造影 食管钡餐透视 [详细],手术治疗、支持疗法 ,肠内营养混悬液 肠内营养粉剂(T,1-2个月,外科手术治愈率约为75%-80%,nan
7336,近端肾小管性酸中毒,肾,所有人群,无传染性,非医保疾病,肾内科,尿胱氨酸 血液生化六项 心电图 尿β2微球蛋白 [详细],对症治疗、药物治疗 ,碳酸氢钠 枸橼酸钠 枸橼酸钾,1-7天,10%,市三甲医院约10000--30000
7337,先天性胸腹裂孔疝,膈肌,婴幼儿,无传染性,非医保疾病,心胸外科,血液电解质 胸部平片 氧分压 [详细],手术治疗 ,地塞米松 食道裂孔疝修补 先天性髋脱位矫,21天---2月,50--70%,nan
7338,小儿播散性脂肪肉芽肿综合征,皮肤 肌肉,婴儿,无传染性,非医保疾病,皮肤科 儿科,关节镜 关节检查 骨关节及软组织CT [详细],未知,甲磺酸双氢麦角 甲氨蝶呤片 甲氨蝶呤片,nan,暂无相关资料,nan
7339,砷化氢引起的溶血性贫血,血液血管,所有人群,无传染性,非医保疾病,血液科 急诊科,血液电解质 葡萄糖6-磷酸脱氢酶荧光斑点试验 红细胞环状体 红细胞碱粒凝集试验 红细胞谷胱甘肽合成酶 [详细],中医药物治疗、西医药物治疗 ,硫唑嘌呤片 硫唑嘌呤片 维生素E软胶囊,1--3月,20%,市三甲医院约（10000 —— 30000元）
7340,十二指肠外瘘,肠,所有人群,无传染性,非医保疾病,消化内科 胃肠外科,腹部血管超声检查 [详细],手术治疗 ,肠内营养乳剂(T 注射用生长抑素,10-15天,82%,nan
7341,维斯科特-奥尔德里奇综合征,皮肤 血液血管,多见于男性人群,无传染性,非医保疾病,血液科,血液检查 [详细],药物治疗 ,地榆升白片 升血小板胶囊 复方皂矾丸,1-3个月,30%,nan
7342,小儿埃博拉病毒病,免疫系统 血液血管,儿童人群,有传染性,非医保疾病,儿科 传染科,尿常规 血液生化六项 [详细],药物治疗、中药治疗 ,诺氟沙星胶囊 注射用克林霉素 小儿清毒糖浆,1-2年,nan,不同医院收费标准不一致，市三甲医院约10000--30000;
7343,妊娠期肝血肿及破裂,肝 女性生殖,孕妇,无传染性,非医保疾病,肝胆外科 外科,肝功能 肝脏超声检查 腹部CT 孕产期检查 [详细],药物治疗、手术治疗 ,地巴唑片 地巴唑片 地巴唑片,1-2个月,75-85%,nan
7344,食管重复畸形,食管,婴幼儿,无传染性,非医保疾病,儿科 胃肠外科,食管造影 食管压力 [详细],手术治疗、中医药物治疗、西医药物治疗 ,应该如何用药？用什么药？,1~3个月,20%,nan
7345,眶骨髓炎,眼 骨髓,所有人群,无传染性,非医保疾病,眼科,CT 红细胞压积 [详细],药物治疗、手术治疗 ,阿莫西林双氯西 盐酸克林霉素棕 盐酸左氧氟沙星,1-3月,85%,nan
7346,小儿先天性光敏感性卟啉症,皮肤,儿童,无传染性,非医保疾病,儿科 皮肤科,便常规 尿常规 骨髓象分析 血卟啉雾化吸入试验 尿卟啉试验 [详细],对症治疗 药物治疗 ,天然胡萝卜素胶 天然胡萝卜素胶 磷酸氯喹片,3个月,20%,nan
7347,小儿脓窠疮,皮肤,儿童,无传染性,非医保疾病,中医科,nan,中医药物治疗、西医药物治疗 ,应该如何用药？用什么药？,3-6周,85%,nan
7348,花翳自陷,眼,所有人群,无传染性,非医保疾病,中医科 眼科,nan,中医药物治疗、西医药物治疗 ,氧氟沙星滴眼液,7--14天,50%,nan
7349,椒疮,眼,所有人群,有传染性,非医保疾病,中医科,nan,药物治疗 ,>> 应该如何用药？用什么药？,3-6个月,60%(多以控制症状为主),市三甲医院约（1000 —— 3000元）;
7350,原发性皮肤免疫细胞瘤,皮肤,所有人群,无传染性,非医保疾病,血液科 皮肤科,浆细胞 细胞免疫检查 [详细],放射治疗 ,复方环磷酰胺片 醋酸地塞米松片 依托泊苷软胶囊,1-3个月,30%,市三甲医院约（10000-50000元）
7351,小儿肾静脉血栓形成,肾 血液血管,小儿,无传染性,非医保疾病,肾内科 血管外科,腹部平片 逆行肾盂造影 血小板计数 [详细],未知,阿司匹林肠溶片 阿司匹林肠溶片 双嘧达莫片,nan,暂无相关资料,nan
7352,新生儿低镁血症,血液血管 全身,新生儿,无传染性,非医保疾病,儿科 血液科,血清镁 尿镁 [详细],西医药物治疗 ,小儿四维葡钙颗 小儿四维葡钙颗 硫酸镁注射液,1周,100%,nan
7353,小儿水杨酸盐类中毒,全身,婴幼儿,无传染性,非医保疾病,急诊科,胸部平片 尿三氯化铁试验 多普勒超声心动图 血液生化六项 [详细],药物治疗 ,盐酸利多卡因注 氨溴特罗口服溶 小儿肺热咳喘口,3个月,70%,nan
7354,瞀瘛,全身 眼,成年人多见,无传染性,非医保疾病,中医科,nan,药物治疗 ,应该如何用药？用什么药？,7-10天,85%,nan
7355,少腹如扇,腹部,年老体虚者,无传染性,非医保疾病,中医科,nan,中医药物治疗 ,应该如何用药？用什么药？,3-6个月,85%,nan
7356,金属性变色,皮肤,所有人群,无传染性,非医保疾病,皮肤科,皮肤试验 [详细],支持疗法 ,聚维酮碘溶液 他克莫司软膏,1-2个月,65%,nan
7357,眼眶畸胎瘤,眼,所有人群,无传染性,非医保疾病,眼科 肿瘤科,nan,手术治疗 ,应该如何用药？用什么药？,周期3-6周,经过手术治疗后能够98%痊愈,nan
